"134","3","60","3","2015-07-24 17:41:17"
"135","3","20","2","2015-07-24 19:56:14"
"136","3","0","2","2015-07-24 19:56:23"
"137","3","210","4","2015-07-24 19:59:26"
"138","3","70","4","2015-07-24 21:35:27"
"139","3","3740","13","2015-07-25 07:58:35"
"140","3","10","2","2015-07-26 15:53:14"
"141","3","20","2","2015-07-26 21:53:14"
"142","3","20","2","2015-07-26 21:54:11"
"143","3","20","2","2015-07-26 21:54:58"
"144","3","20","2","2015-07-26 21:56:09"
"145","3","20","2","2015-07-27 07:37:30"
"146","3","520","6","2015-07-27 07:43:44"
"147","3","120","3","2015-07-27 07:45:17"
"148","3","60","3","2015-07-27 07:48:58"
"149","3","20","2","2015-07-28 07:25:30"
"150","3","160","4","2015-07-28 07:27:59"
"151","3","2310","11","2015-07-28 07:50:46"
"152","3","40","2","2015-07-28 15:47:16"
"153","3","20","2","2015-07-28 18:28:28"
"154","3","990","8","2015-07-28 18:40:52"
"155","3","2230","11","2015-07-28 19:13:31"
"156","3","260","4","2015-07-28 19:17:06"
"157","3","280","5","2015-07-29 07:37:10"
"158","3","50","3","2015-07-30 06:57:20"
"159","3","3970","14","2015-07-30 07:41:47"
"160","3","130","4","2015-07-31 01:15:48"
"161","3","10","2","2015-07-31 06:46:13"
"162","3","370","5","2015-07-31 06:51:59"
"163","3","1240","8","2015-07-31 07:05:59"
"164","3","20","2","2015-08-01 04:48:23"
"165","3","20","2","2015-08-01 04:49:22"
"166","3","230","4","2015-08-01 05:25:10"
"167","3","310","5","2015-08-01 05:29:25"
"168","3","20","2","2015-08-01 06:30:33"
"169","3","60","2","2015-08-01 06:32:25"
"170","3","860","7","2015-08-01 06:42:22"
"171","3","60","3","2015-08-01 07:25:55"
"172","3","70","3","2015-08-01 07:28:49"
"173","3","30","2","2015-08-01 07:37:51"
"174","3","70","3","2015-08-01 07:40:29"
"175","3","330","5","2015-08-01 07:44:32"
"176","3","430","6","2015-08-01 07:50:37"
"177","3","1280","9","2015-08-01 18:12:40"
"178","3","50","3","2015-08-02 03:44:30"
"179","3","440","5","2015-08-02 05:29:04"
"180","3","750","7","2015-08-02 05:38:33"
"181","3","30","2","2015-08-02 17:07:33"
"182","3","50","3","2015-08-02 19:43:12"
"183","3","30","2","2015-08-02 19:44:23"
"184","3","10","2","2015-08-02 19:47:18"
"185","3","1640","11","2015-08-02 20:14:05"
"186","3","200","4","2015-08-03 03:24:55"
"187","3","2910","12","2015-08-03 03:58:46"
"188","3","2450","11","2015-08-03 04:24:29"
"189","3","20","2","2015-08-04 14:32:29"
"190","3","20","2","2015-08-04 14:33:14"
"191","3","100","3","2015-08-05 02:12:25"
"192","3","520","7","2015-08-05 07:33:39"
"193","3","70","3","2015-08-05 15:25:42"
"194","3","10","2","2015-08-06 21:46:12"
"195","3","20","3","2015-08-06 21:47:20"
"196","3","20","2","2015-08-07 02:35:13"
"197","3","50","4","2015-08-07 02:38:55"
"198","3","30","2","2015-08-07 02:39:46"
